                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93309,                 3.7603,                 1.4077,                0.04201,                0.66662,                0.13882,                0.09281,                0.79704,                 4.2557,                 1.3724,              0.0001578,              0.0001578,              0.0001578
                      2,                0.87461,                 3.2726,                 1.4137,                0.77685,                0.13204,                 0.2305,                0.15601,                 1.0503,                 3.8896,                 1.6579,             0.00031451,             0.00031451,             0.00031451
                      3,                0.99031,                 2.8837,                 1.4989,                0.33117,                0.30743,                0.33815,                0.19548,                   1.26,                 3.3996,                 1.8422,             0.00046476,             0.00046476,             0.00046476
                      4,                0.95924,                 2.6728,                 1.4484,                0.31403,                0.39292,                0.33768,                0.19736,                 1.1649,                 3.5683,                  1.792,             0.00049476,             0.00049476,             0.00049476
                      5,                0.91911,                 2.4064,                 1.4367,                0.22621,                0.47383,                0.32506,                0.18648,                  1.153,                 3.4932,                 1.7785,             0.00048434,             0.00048434,             0.00048434
                      6,                0.92067,                 2.2294,                 1.4017,                0.47521,                0.44347,                 0.4206,                0.24649,                  1.267,                 3.2404,                 1.8479,             0.00047393,             0.00047393,             0.00047393
                      7,                0.93125,                 2.2669,                 1.4228,                0.34584,                0.42599,                0.36302,                0.20083,                 1.2515,                  3.113,                 1.8876,             0.00046351,             0.00046351,             0.00046351
                      8,                 0.9178,                 2.2085,                 1.4022,                 0.4583,                0.43426,                0.39773,                0.24694,                 1.1782,                 3.0336,                 1.7905,              0.0004531,              0.0004531,              0.0004531
                      9,                0.90477,                 2.0624,                 1.3888,                0.52473,                0.46335,                0.48309,                0.30473,                  1.237,                 2.7425,                 1.8084,             0.00044268,             0.00044268,             0.00044268
                     10,                0.92063,                 2.0617,                  1.418,                0.46297,                0.47479,                0.44611,                0.29454,                 1.1443,                 2.7646,                 1.7695,             0.00043227,             0.00043227,             0.00043227
                     11,                0.87387,                 1.9386,                 1.3758,                0.56218,                0.43715,                  0.497,                0.31641,                 1.1553,                 2.6993,                 1.7631,             0.00042185,             0.00042185,             0.00042185
                     12,                0.80888,                 1.8802,                 1.3054,                0.52582,                0.53624,                0.53093,                0.34577,                 1.1168,                 2.5754,                 1.7166,             0.00041144,             0.00041144,             0.00041144
                     13,                0.83318,                 1.8816,                 1.3332,                0.60431,                0.46283,                0.50916,                0.34508,                 1.1551,                 2.6827,                 1.7209,             0.00040102,             0.00040102,             0.00040102
                     14,                0.86034,                 1.8942,                 1.3651,                0.73128,                0.42624,                0.52348,                0.35078,                 1.1535,                 2.6314,                 1.7511,             0.00039061,             0.00039061,             0.00039061
                     15,                0.83415,                 1.7585,                 1.3568,                0.51244,                0.50161,                0.53147,                0.35348,                 1.0879,                 2.4642,                 1.7034,             0.00038019,             0.00038019,             0.00038019
                     16,                0.78667,                 1.6897,                 1.3083,                0.57153,                0.46974,                0.54184,                0.34393,                 1.1783,                  2.551,                 1.7624,             0.00036978,             0.00036978,             0.00036978
                     17,                0.79242,                  1.668,                 1.3017,                0.68782,                0.43001,                0.53207,                0.36242,                 1.1457,                 2.4843,                 1.7274,             0.00035936,             0.00035936,             0.00035936
                     18,                0.75833,                 1.6424,                 1.2818,                0.58723,                0.56247,                0.58832,                0.41691,                 1.0733,                 2.4291,                  1.662,             0.00034895,             0.00034895,             0.00034895
                     19,                0.79417,                  1.571,                 1.2921,                0.61564,                0.53596,                0.58903,                0.42884,                 1.0212,                 2.2873,                 1.6339,             0.00033853,             0.00033853,             0.00033853
                     20,                 0.7543,                 1.5377,                 1.2843,                0.60276,                0.56637,                0.59812,                0.40796,                 1.1153,                 2.2329,                 1.7096,             0.00032812,             0.00032812,             0.00032812
                     21,                0.74849,                 1.5552,                  1.285,                0.60086,                0.54586,                0.57223,                0.39922,                 1.0802,                 2.3293,                 1.6706,              0.0003177,              0.0003177,              0.0003177
                     22,                0.74417,                 1.5105,                 1.2893,                0.69407,                 0.5327,                0.61545,                0.41639,                 1.0876,                 2.2889,                 1.6704,             0.00030729,             0.00030729,             0.00030729
                     23,                0.72727,                 1.4197,                 1.2521,                0.66132,                 0.5161,                 0.5985,                0.40478,                 1.0676,                 2.2687,                 1.6319,             0.00029687,             0.00029687,             0.00029687
                     24,                 0.7185,                 1.4668,                 1.2503,                0.62595,                0.53876,                0.59025,                 0.3951,                 1.0743,                 2.3086,                 1.6638,             0.00028646,             0.00028646,             0.00028646
                     25,                0.70467,                 1.4276,                 1.2556,                0.74866,                 0.4977,                 0.5967,                 0.4329,                 1.1285,                 2.2695,                 1.7448,             0.00027604,             0.00027604,             0.00027604
                     26,                 0.6907,                 1.3262,                 1.2295,                 0.6224,                0.54092,                0.61643,                0.44405,                 1.0604,                 2.1467,                 1.6381,             0.00026563,             0.00026563,             0.00026563
                     27,                 0.6814,                 1.2907,                 1.2348,                0.63117,                 0.5604,                0.62926,                0.43127,                 1.0797,                 2.1231,                 1.6567,             0.00025522,             0.00025522,             0.00025522
                     28,                0.70348,                 1.3011,                 1.2238,                0.66576,                0.55799,                0.64006,                0.44418,                 1.0919,                 2.0395,                 1.6659,              0.0002448,              0.0002448,              0.0002448
                     29,                0.69874,                 1.2845,                 1.2405,                0.59563,                0.62538,                0.64226,                  0.442,                 1.0766,                 2.1161,                 1.6505,             0.00023439,             0.00023439,             0.00023439
                     30,                0.65699,                 1.1825,                 1.2011,                0.69858,                0.51978,                0.62033,                0.44979,                 1.0499,                  2.092,                 1.6446,             0.00022397,             0.00022397,             0.00022397
                     31,                0.66123,                 1.2078,                 1.2034,                0.59508,                 0.5847,                0.62508,                0.45277,                 1.0393,                 2.0964,                 1.6228,             0.00021356,             0.00021356,             0.00021356
                     32,                 0.6731,                  1.207,                 1.2132,                0.79096,                0.51588,                0.65036,                0.46323,                  1.017,                 1.9768,                 1.6027,             0.00020314,             0.00020314,             0.00020314
                     33,                0.64464,                 1.1887,                  1.203,                0.73201,                0.58317,                0.64884,                0.45594,                 1.0158,                 1.9991,                 1.5857,             0.00019273,             0.00019273,             0.00019273
                     34,                0.67994,                 1.1667,                 1.2232,                0.72887,                0.53425,                0.61974,                0.45859,                0.99619,                 2.0491,                 1.5683,             0.00018231,             0.00018231,             0.00018231
                     35,                0.63391,                 1.1421,                 1.1894,                0.67231,                   0.59,                0.63482,                0.45573,                 1.0252,                 2.0065,                 1.5894,              0.0001719,              0.0001719,              0.0001719
                     36,                 0.6286,                 1.1732,                 1.1751,                0.70812,                0.56489,                0.64071,                0.45931,                 1.0437,                 2.0693,                 1.6196,             0.00016148,             0.00016148,             0.00016148
                     37,                0.62838,                 1.1562,                 1.1881,                0.70147,                 0.5687,                0.63868,                0.46666,                 1.0306,                 2.0854,                 1.6141,             0.00015107,             0.00015107,             0.00015107
                     38,                0.63015,                 1.1605,                 1.1974,                0.60323,                0.62615,                 0.6399,                0.47271,                0.99908,                 1.9888,                 1.5759,             0.00014065,             0.00014065,             0.00014065
                     39,                0.62053,                 1.1094,                 1.1813,                0.66986,                0.57157,                0.63011,                0.45902,                0.99515,                 1.9783,                  1.582,             0.00013024,             0.00013024,             0.00013024
                     40,                0.62422,                 1.0766,                 1.1863,                0.72707,                0.57726,                0.64906,                0.48142,                 1.0024,                 1.9735,                 1.5826,             0.00011982,             0.00011982,             0.00011982
                     41,                0.55456,                 1.3083,                 1.1668,                0.64275,                0.56358,                0.58983,                0.42185,                 1.0451,                 2.2115,                 1.6284,             0.00010941,             0.00010941,             0.00010941
                     42,                0.52258,                 1.2658,                 1.1804,                 0.7023,                0.51348,                0.59729,                0.41916,                 1.0573,                 2.1532,                 1.6498,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                0.52728,                 1.1533,                 1.1413,                0.72225,                0.56892,                0.64575,                0.47081,                0.98997,                 1.9479,                  1.574,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                0.49554,                 1.0924,                 1.1209,                0.75082,                0.60215,                0.65984,                0.48804,                0.96925,                 1.8881,                 1.5645,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                0.48742,                  1.101,                 1.1143,                0.75664,                0.59334,                0.66271,                0.49829,                0.96906,                 1.8869,                 1.5588,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                0.50596,                 1.1517,                 1.1186,                0.71492,                0.60088,                0.65582,                0.48825,                0.98296,                 1.9362,                 1.5667,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                0.50605,                 1.0599,                 1.1307,                 0.6967,                0.58799,                0.64454,                0.47084,                0.98784,                 1.9595,                 1.5745,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                0.46653,                 1.0319,                 1.1243,                0.70974,                0.56765,                0.64768,                0.47769,                0.97845,                 1.9327,                 1.5581,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                0.47461,                 1.0786,                 1.1174,                0.70378,                0.57855,                0.63655,                0.46885,                0.98355,                 1.9431,                 1.5694,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                0.44419,                 1.0213,                 1.0976,                0.67474,                0.59079,                0.64016,                0.47517,                0.98482,                 1.9521,                 1.5708,             1.5675e-05,             1.5675e-05,             1.5675e-05
